Variable:,pr
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
1901,550.01,654.46,732.16,411.51,596.16,1134.96,673.12,1066.67,575.11,234.53
1902,432.73,590.80,605.86,469.32,555.63,727.81,501.42,542.41,468.30,175.35
1903,350.40,408.81,524.75,359.54,473.69,647.45,473.81,544.51,374.35,104.28
1904,445.39,525.68,650.27,423.39,453.38,752.04,540.19,652.58,541.23,236.93
1905,441.36,547.29,566.71,381.14,623.43,873.86,433.34,663.04,436.20,190.81
1906,486.46,588.56,635.08,390.36,679.09,882.05,581.46,720.37,504.19,208.75
1907,553.18,767.07,839.69,352.84,600.48,976.35,654.40,860.22,653.22,284.33
1908,384.83,469.53,541.63,352.79,516.27,830.76,421.19,606.43,383.84,133.85
1909,609.28,789.57,898.23,453.86,646.60,1104.98,691.07,1012.46,679.88,318.26
1910,486.35,551.52,689.05,395.50,645.94,1054.22,610.77,812.96,474.45,169.02
1911,509.12,554.16,629.65,433.34,697.09,919.22,566.47,748.51,476.14,270.42
1912,394.91,508.24,556.78,381.01,478.98,751.03,367.80,576.09,466.95,180.29
1913,464.22,469.05,617.64,415.97,602.80,937.65,518.68,736.42,447.62,224.72
1914,486.82,564.25,746.19,431.76,589.39,914.91,627.25,781.07,504.98,203.29
1915,470.78,577.57,818.69,345.24,500.72,1024.42,627.53,913.96,481.15,165.21
1916,388.84,435.99,585.00,399.63,528.67,739.94,417.80,568.15,402.41,160.92
1917,595.62,660.71,854.03,472.41,780.69,1247.96,601.49,989.96,588.15,279.11
1918,557.45,643.38,800.00,382.96,580.64,1173.44,697.71,978.89,623.76,262.73
1919,348.15,368.77,510.82,282.78,379.86,753.53,465.19,582.66,377.59,147.43
1920,516.42,596.39,682.87,442.08,580.09,1036.53,586.46,818.88,504.03,268.75
1921,568.18,612.72,728.58,525.29,704.47,1017.63,662.83,839.23,565.88,302.06
1922,405.33,484.48,663.83,379.68,594.90,920.77,435.42,751.93,345.98,98.10
1923,461.45,521.42,620.09,376.78,579.55,720.92,645.34,731.83,513.92,215.11
1924,492.57,678.66,715.77,305.49,506.40,964.32,682.88,848.00,555.11,205.61
1925,563.75,667.57,772.85,418.71,670.99,1006.97,689.74,812.04,590.24,310.41
1926,379.55,504.20,539.47,285.13,503.31,806.00,442.30,599.14,421.63,123.53
1927,383.52,508.59,565.91,262.08,420.30,845.28,486.29,686.41,420.29,137.11
1928,434.98,522.99,710.27,306.67,573.24,701.18,506.50,613.86,555.30,214.18
1929,535.19,697.49,871.24,368.03,639.62,1022.16,660.27,881.10,580.18,228.36
1930,407.70,448.15,568.26,332.16,547.02,812.24,560.96,606.94,433.59,151.06
1931,444.13,598.21,588.51,390.49,646.93,693.29,470.58,640.00,501.04,185.85
1932,416.04,441.28,513.30,354.70,536.79,888.31,518.07,650.34,456.61,160.76
1933,396.75,458.05,600.51,332.06,509.57,767.78,518.65,687.29,379.54,151.26
1934,564.79,800.70,688.58,380.14,649.28,1040.59,523.22,803.24,658.81,324.86
1935,380.73,492.55,420.80,379.03,586.63,660.20,288.19,467.22,391.60,190.89
1936,503.09,621.45,749.68,367.51,610.96,1013.95,609.42,870.29,578.01,191.18
1937,444.46,498.51,651.94,360.97,493.05,886.92,569.02,863.60,440.35,188.43
1938,469.37,567.60,635.92,354.65,603.31,919.42,551.26,807.52,412.98,215.86
1939,566.46,641.80,837.29,369.56,634.16,1094.06,740.64,1002.49,613.78,274.01
1940,494.06,578.07,677.35,376.43,583.27,961.70,603.42,834.42,534.22,224.76
1941,421.63,490.92,642.02,461.57,515.35,693.32,427.72,624.95,411.90,225.15
1942,549.91,748.75,885.83,379.51,666.80,1134.37,571.34,870.31,623.65,234.27
1943,588.27,840.54,798.76,424.45,702.81,1216.24,560.77,863.01,697.56,263.77
1944,441.01,542.69,763.18,380.95,507.42,870.03,509.87,750.00,520.49,168.48
1945,360.32,387.98,590.25,378.89,404.31,687.51,463.79,540.05,409.89,149.23
1946,452.05,591.49,709.31,304.01,526.96,826.42,526.96,819.90,523.86,196.65
1947,463.06,583.58,670.40,318.21,590.07,957.98,500.14,867.17,480.28,182.67
1948,454.76,524.82,604.90,375.80,534.98,797.56,626.06,642.70,467.62,231.46
1949,421.50,507.89,806.96,320.42,405.90,964.42,574.50,874.09,445.90,130.91
1950,525.71,682.14,662.83,410.19,711.69,805.02,423.30,634.57,561.31,355.84
1951,390.44,481.12,577.85,363.67,452.01,749.13,471.54,675.24,442.79,144.06
1952,436.26,528.14,644.70,425.63,562.45,785.01,491.40,674.31,447.85,186.41
1953,500.76,552.78,671.04,441.76,679.69,821.42,655.86,717.10,472.51,248.07
1954,468.53,487.89,622.05,486.35,531.66,903.48,589.88,745.65,467.65,217.33
1955,574.29,696.17,930.03,440.38,575.42,1005.54,766.84,992.16,639.55,286.51
1956,531.52,685.44,659.23,418.67,665.02,1020.62,560.47,770.29,566.44,262.93
1957,528.42,717.01,681.60,476.44,560.34,1132.87,529.48,799.26,582.58,240.89
1958,483.65,600.65,751.15,321.17,575.28,939.99,650.24,866.22,521.26,188.27
1959,463.54,595.37,617.75,440.37,617.52,863.09,503.11,689.91,436.35,200.05
1960,462.73,599.72,659.80,291.88,573.16,974.87,557.64,841.55,525.44,162.34
1961,515.70,588.27,683.62,419.07,609.82,884.61,535.83,782.94,551.56,312.42
1962,434.53,535.10,585.95,458.56,549.69,809.12,485.58,651.32,463.26,172.30
1963,524.04,671.00,589.32,411.91,773.05,907.31,401.01,649.43,510.99,322.74
1964,426.11,537.16,685.71,390.02,565.14,913.59,455.23,765.05,366.49,143.51
1965,354.72,390.21,404.15,358.86,522.28,739.60,291.99,534.46,294.94,171.38
1966,386.06,466.94,655.79,279.61,435.78,806.78,470.82,714.91,461.12,140.46
1967,550.41,722.02,819.65,418.98,598.76,974.25,566.20,830.35,726.68,286.12
1968,388.87,441.43,543.35,351.33,410.89,710.79,478.65,612.70,455.88,193.87
1969,449.65,534.34,789.97,275.09,478.55,925.00,622.26,906.85,469.36,177.76
1970,392.39,480.73,532.70,329.34,544.97,784.38,405.78,542.25,379.06,181.86
1971,501.31,555.76,844.33,370.58,630.69,913.41,605.02,871.91,580.88,218.47
1972,459.16,552.59,601.50,309.80,503.70,916.04,595.24,772.76,496.29,219.66
1973,488.96,536.12,686.08,327.69,532.16,952.66,594.09,856.55,544.69,259.06
1974,652.58,815.87,718.25,472.68,870.69,942.12,613.02,765.61,678.79,469.14
1975,577.69,705.50,851.50,381.02,598.98,1061.82,695.45,926.05,723.72,308.27
1976,675.06,824.87,831.07,497.06,847.45,1075.43,680.91,796.27,800.98,439.56
1977,556.42,597.61,688.14,535.28,681.61,924.26,723.63,740.34,600.18,291.92
1978,496.09,593.97,727.93,279.99,589.79,1027.95,708.70,815.89,549.15,200.96
1979,418.51,525.67,631.66,316.67,598.06,704.09,459.87,624.75,467.59,185.98
1980,443.27,515.94,710.93,377.33,456.80,709.59,645.64,772.51,536.68,196.05
1981,538.19,680.30,657.41,516.82,718.84,894.06,606.40,778.14,553.95,245.88
1982,391.31,499.92,576.48,390.79,492.41,652.29,393.37,507.52,457.43,193.22
1983,423.13,499.86,634.84,369.05,513.69,820.29,438.12,727.03,399.59,206.45
1984,402.22,449.96,453.76,356.52,462.69,975.58,478.91,805.47,324.84,145.36
1985,504.31,524.53,634.64,499.74,732.25,893.62,587.00,712.98,399.98,253.56
1986,429.60,528.30,678.35,376.30,597.51,801.20,470.74,678.92,463.30,161.60
1987,473.83,618.61,764.18,364.90,502.29,1068.32,537.22,827.30,479.72,193.57
1988,593.84,846.55,615.88,354.63,739.41,1020.48,556.96,742.49,680.45,375.52
1989,514.35,590.28,726.52,451.28,677.42,963.91,556.58,774.55,559.03,236.85
1990,389.46,461.50,539.76,368.80,434.72,711.13,426.29,661.53,396.89,195.94
1991,508.01,677.24,625.61,378.38,611.22,900.47,521.64,671.91,538.31,299.70
1992,314.15,357.14,459.55,397.86,397.07,563.91,362.14,493.28,308.89,114.47
1993,450.47,546.74,694.23,435.52,587.65,836.48,495.10,723.14,410.02,194.96
1994,389.60,441.50,666.31,355.44,525.48,738.39,371.51,589.23,355.69,198.66
1995,502.24,590.45,819.81,454.01,613.48,903.78,569.94,767.01,552.47,233.54
1996,569.18,726.79,798.44,494.39,668.45,1059.17,698.95,895.49,605.77,243.88
1997,488.63,584.91,737.72,351.39,552.26,1055.67,599.27,813.47,550.59,201.77
1998,496.93,647.29,677.84,392.09,657.75,917.78,546.59,830.25,554.64,195.61
1999,436.71,475.12,470.23,367.95,533.74,897.06,496.88,759.09,384.05,217.58
2000,628.92,734.52,1017.36,349.68,708.99,1221.30,778.96,1265.81,690.77,288.85
2001,537.86,716.70,768.30,420.33,673.60,925.40,587.75,800.82,626.32,253.91
2002,412.56,532.06,515.68,367.28,529.43,794.67,325.90,524.26,450.19,232.08
2003,372.50,433.66,476.07,296.67,493.99,737.87,411.86,580.77,392.38,167.01
2004,470.69,570.02,690.96,353.08,594.95,825.61,528.73,773.37,518.89,228.83
2005,395.46,447.17,513.91,300.09,521.56,693.43,409.36,597.26,399.82,228.82
2006,567.40,705.31,727.44,383.73,729.31,1023.65,640.40,834.80,565.39,311.40
2007,424.42,497.80,496.09,390.79,534.00,932.84,448.96,585.89,382.91,203.85
2008,437.79,512.22,547.21,366.31,533.84,894.75,418.65,673.92,424.36,238.33
2009,474.64,668.90,723.57,287.06,479.11,833.05,626.12,804.08,545.34,231.77
2010,475.20,677.73,630.28,317.12,558.61,772.96,514.60,659.83,539.91,272.42
2011,541.72,669.27,657.35,375.79,653.34,876.45,548.21,721.23,593.08,363.77
2012,462.35,495.69,530.05,385.87,613.08,930.29,466.78,733.73,380.51,257.44
2013,420.93,407.07,567.41,362.31,555.17,824.27,559.78,701.98,381.38,187.03
2014,450.06,512.80,620.68,358.35,578.93,863.09,497.14,724.81,445.85,221.61
2015,368.00,360.73,478.61,301.08,505.09,836.37,376.83,611.30,305.07,176.23
2016,425.62,455.85,632.08,269.51,457.71,873.08,543.84,738.22,447.44,224.94
2017,426.02,512.29,639.42,236.26,514.13,870.52,483.09,687.07,545.81,195.68
2018,384.54,426.03,542.32,281.60,435.64,837.03,492.80,673.85,379.69,169.76
2019,383.92,506.03,602.23,218.43,446.08,829.43,450.36,670.42,471.02,145.29
2020,462.23,639.11,631.88,301.61,570.91,849.55,494.35,685.37,508.26,234.71
